Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
141;CUFF IT;Beyoncé;29/05/2023;0.78;0.689;-5668.0;0.141;0.037;0.0;0.642;1xzi1Jcr7mEi9K2RfzLOqS
142;Nosso Quadro;AgroPlay, Ana Castela;29/05/2023;0.691;0.708;-4821.0;0.195;0.338;0.0;0.602;4uqJelb9THHmJ3OCohg4ZJ
143;Counting Stars;OneRepublic;29/05/2023;0.664;0.705;-4972.0;0.038;0.065;0.0;0.477;2tpWsVSb9UEmDRxAl1zhX1
144;Rich Flex;Drake, 21 Savage;29/05/2023;0.561;0.52;-9342.0;0.244;0.05;0.0;0.424;1bDbXMyjaUIooNwFE9wn0N
145;Dog Days Are Over;Florence + The Machine;29/05/2023;0.501;0.809;-5264.0;0.094;0.034;0.006;0.258;456WNXWhDwYOSf5SpTuqxd
146;Too Many Nights (feat. Don Toliver & with Future);Metro Boomin, Future, Don Toliver;29/05/2023;0.684;0.671;-4392.0;0.046;0.189;0.0;0.156;2Hh3ETdQKrmSI3QS0hme7g
147;69;Nicky Jam, Feid;29/05/2023;0.785;0.617;-4202.0;0.234;0.109;0.0;0.58;13Z5Q40pa1Ly7aQk1oW8Ce
148;Until I Found You;Stephen Sanchez;29/05/2023;0.346;0.5;-6097.0;0.039;0.757;0.0;0.191;6VhuP99TE6gYNQRJIlAWFD
149;Novo Balanço;Veigh, Bvga Beatz, Prod Malax, Supernova Ent;29/05/2023;0.836;0.499;-5.82;0.056;0.669;0.0;0.65;4hKLzFvNwHF6dPosGT30ed
150;VAGABUNDO;Sebastian Yatra, Manuel Turizo, Beéle;29/05/2023;0.817;0.851;-3309.0;0.063;0.035;0.0;0.886;1MB8kTH7VKvAMfL9SHgJmG
151;Las Morras;Peso Pluma, Blessd;29/05/2023;0.777;0.841;-4641.0;0.041;0.312;0.0;0.901;7Lkxvfl2rkNYWS4kBDCQtN
152;Just Wanna Rock;Lil Uzi Vert;29/05/2023;0.486;0.545;-7924.0;0.034;0.065;0.005;0.039;4FyesJzVpA39hbYvcseO2d
153;Superhero (Heroes & Villains) [with Future & Chris Brown];Metro Boomin, Future, Chris Brown;29/05/2023;0.526;0.606;-5.3;0.259;0.152;0.0;0.492;0vjeOZ3Ft5jvAi9SBFJm1j
154;Komang;Raim Laode;29/05/2023;0.696;0.412;-8547.0;0.027;0.415;0.0;0.349;2AaaE0qvFWtyT8srKNfRhH
155;ceilings;Lizzy McAlpine;29/05/2023;0.516;0.322;-11762.0;0.029;0.473;0.002;0.261;2L9N0zZnd37dwF0clgxMGI
156;Niña Bonita;Feid, Sean Paul;29/05/2023;0.823;0.615;-4.19;0.147;0.104;0.0;0.47;3Gs7mVfWKl567mjozgxmXv
157;Easy On Me;Adele;29/05/2023;0.604;0.366;-7519.0;0.028;0.578;0.0;0.13;46IZ0fSY2mpAiktS3KOqds
158;Glimpse of Us;Joji;29/05/2023;0.44;0.317;-9258.0;0.053;0.891;0.0;0.268;4ewazQLXFTDC8XvCbhvtXs
159;Ch y la Pizza;Fuerza Regida, Natanael Cano;29/05/2023;0.628;0.668;-2722.0;0.117;0.329;0.0;0.845;0UbesRsX2TtiCeamOIVEkp
160;Lovers Rock;TV Girl;29/05/2023;0.559;0.871;-5338.0;0.04;0.0;0.005;0.572;6dBUzqjtbnIa1TwYbyw5CM
161;We Found Love;Rihanna, Calvin Harris;29/05/2023;0.734;0.766;-4485.0;0.038;0.025;0.001;0.6;1zv3WFUbZ5vPxFq9I2jAU1
162;Do I Wanna Know?;Arctic Monkeys;29/05/2023;0.548;0.532;-7596.0;0.032;0.186;0.0;0.405;5FVd6KXrgO9B3JPmC8OPst
163;Cupido;TINI;29/05/2023;0.913;0.584;-5263.0;0.223;0.521;0.0;0.627;04ndZkbKGthTgYSv3xS7en
164;Shape of You;Ed Sheeran;29/05/2023;0.825;0.652;-3183.0;0.08;0.581;0.0;0.931;7qiZfU4dY1lWllzX7mPBI3
165;UNFORGIVEN (feat. Nile Rodgers);LE SSERAFIM, Nile Rodgers;29/05/2023;0.795;0.875;-4079.0;0.053;0.111;0.0;0.375;51vRumtqbkNW9wrKfESwfu
166;Efecto;Bad Bunny;29/05/2023;0.801;0.475;-8797.0;0.052;0.141;0.0;0.234;5Eax0qFko2dh7Rl2lYs3bx
167;Save Your Tears;The Weeknd;29/05/2023;0.68;0.826;-5487.0;0.031;0.021;0.0;0.644;5QO79kh1waicV47BqGRL3g
168;Jimmy Cooks (feat. 21 Savage);Drake, 21 Savage;29/05/2023;0.529;0.673;-4711.0;0.175;0.0;0.0;0.366;3F5CgOj3wFlRv51JsHbxhe
